Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Review,Positive,Neutral,Negative,Compound,Sentiment
ID0001,Diane,2021-01-01,09:12:58,Contract related,Y,Y,109.0,00:02:23,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0002,Becky,2021-01-01,09:12:58,Technical Support,Y,N,70.0,00:04:02,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0003,Stewart,2021-01-01,09:47:31,Contract related,Y,Y,10.0,00:02:11,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0004,Greg,2021-01-01,09:47:31,Contract related,Y,Y,53.0,00:00:37,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0005,Becky,2021-01-01,10:00:29,Payment related,Y,Y,95.0,00:01:00,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0006,Stewart,2021-01-01,10:00:29,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0007,Diane,2021-01-01,10:22:05,Payment related,Y,Y,24.0,00:03:40,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0008,Diane,2021-01-01,10:22:05,Payment related,Y,Y,22.0,00:00:38,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0009,Greg,2021-01-01,11:13:55,Admin Support,Y,Y,15.0,00:06:38,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0010,Jim,2021-01-01,11:13:55,Streaming,Y,Y,78.0,00:01:04,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0011,Joe,2021-01-01,11:15:22,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0012,Greg,2021-01-01,11:15:22,Payment related,Y,Y,50.0,00:00:32,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0013,Joe,2021-01-01,11:52:48,Payment related,Y,Y,84.0,00:03:34,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0014,Martha,2021-01-01,11:52:48,Contract related,Y,Y,89.0,00:05:44,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0015,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,48.0,00:03:47,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0016,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,63.0,00:05:26,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0017,Greg,2021-01-01,11:57:07,Technical Support,Y,Y,45.0,00:05:32,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0018,Becky,2021-01-01,11:57:07,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0019,Jim,2021-01-01,12:01:26,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0020,Jim,2021-01-01,12:01:26,Contract related,Y,Y,101.0,00:02:27,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0021,Jim,2021-01-01,12:02:53,Technical Support,Y,Y,74.0,00:05:22,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0022,Dan,2021-01-01,12:02:53,Admin Support,Y,Y,89.0,00:05:50,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0023,Martha,2021-01-01,12:02:53,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0024,Joe,2021-01-01,12:02:53,Technical Support,Y,Y,68.0,00:05:25,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0025,Diane,2021-01-01,12:30:14,Streaming,Y,Y,97.0,00:04:09,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0026,Dan,2021-01-01,12:30:14,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0027,Joe,2021-01-01,12:40:19,Streaming,Y,Y,39.0,00:04:00,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0028,Martha,2021-01-01,12:40:19,Contract related,Y,Y,51.0,00:02:34,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0029,Joe,2021-01-01,12:40:19,Technical Support,Y,Y,106.0,00:02:09,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0030,Stewart,2021-01-01,12:40:19,Streaming,Y,Y,107.0,00:05:55,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0031,Joe,2021-01-01,13:24:58,Admin Support,Y,Y,22.0,00:05:08,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0032,Joe,2021-01-01,13:24:58,Streaming,Y,Y,122.0,00:02:08,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0033,Diane,2021-01-01,13:33:36,Technical Support,Y,Y,57.0,00:06:49,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0034,Jim,2021-01-01,13:33:36,Payment related,Y,N,53.0,00:01:44,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0035,Becky,2021-01-01,13:42:14,Streaming,Y,Y,119.0,00:01:31,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0036,Diane,2021-01-01,13:42:14,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0037,Martha,2021-01-01,13:42:14,Technical Support,Y,N,20.0,00:01:12,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0038,Joe,2021-01-01,13:42:14,Technical Support,Y,Y,52.0,00:00:36,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0039,Stewart,2021-01-01,14:38:24,Contract related,Y,Y,74.0,00:06:41,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0040,Greg,2021-01-01,14:38:24,Technical Support,Y,Y,49.0,00:02:29,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0041,Jim,2021-01-01,14:47:02,Technical Support,Y,Y,27.0,00:02:09,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0042,Greg,2021-01-01,14:47:02,Contract related,Y,Y,100.0,00:04:54,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0043,Diane,2021-01-01,14:47:02,Technical Support,Y,Y,45.0,00:06:21,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0044,Becky,2021-01-01,14:47:02,Payment related,Y,Y,98.0,00:03:14,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
